Station ID	Station.Code	Station name	Station ID	Station Code	longitude	latitude	Catch_area_km2	runoff_mm/yr	Depth (m)	Lake_area_km2	Forest_Area %	Cultivated_Area %	Peat_Area %	Glacier_Area %	Water_ex_lake_Area %	Heath_Area %	Lake_Area %	Res_time_years
3004	119-1-2	H?levatnet	3004	119-1-2	11.6604	59.6088	0.48	491	3.79	0.07	88.9	0	0	0	0	11.1	14.6	1.13
3005	119-2-81	Nordre Torgrimsbutjern	3005	119-2-81	11.7699	59.3514	1.87	533	2.24	0.07	91.7	0	3	0	0	5.3	3.7	0.5
3006	119-4-3	R?denessj?en	3006	119-4-3	11.651	59.4832	1007.61	639	18.65	16.42	72.8	11.4	1	0	12.9	1.9	1.6	0.5
3007	128-1-4	Stomperudtjernet	3007	128-1-4	11.4043	59.3214	3.66	314	2.43	0.05	37.9	0	1.7	0	1.3	59.1	1.4	0.5
3009	137-3-1	S?yvatnet	3009	137-3-1	10.9736	59.4291	93.75	606	7.7	1.55	92	0	0.6	0	0.2	7.2	1.7	0.5
3010	217-3-1	Gjersj?en	3010	217-3-1	10.7769	59.8083	80.67	508	23.15	2.42	69.4	15	2.5	0	2.8	10.3	3	1.37
3011	220-2-9	Bondivatnet	3011	220-2-9	10.4373	59.8174	35.18	695	5.34	0.13	80.8	8.8	0.7	0	0.5	9.2	0.4	0.5
3012	221-1-6	Lombergtjern	3012	221-1-6	11.6183	59.7369	1.65	470	2.93	0.04	91.4	0	2.3	0	3.1	3.2	2.4	0.5
3013	221-1-9	Lembruvatna	3013	221-1-9	11.8406	59.8419	7.53	526	2.83	0.09	91.4	0	5.1	0	1.3	2.2	1.2	0.5
3014	221-3-2	Floen	3014	221-3-2	11.5085	59.9824	41.83	504	9.83	2.04	90.2	0	3.1	0	4.5	2.2	4.9	0.95
3015	227-2-1	Heia	3015	227-2-1	11.2137	59.9275	17.32	500	5.94	0.53	87.7	0	4.2	0	2.5	5.6	3.1	0.5
3016	231-2-5	Tretjernet	3016	231-2-5	11.1305	59.9879	0.61	538	5.25	0.1	87	0	4.6	0	8.4	0	16.3	1.59
3017	235-1-3	Sesvolltjernet	3017	235-1-3	11.1652	60.2496	2.06	474	0.5	0.05	67.3	9.6	19.2	0	4	-0.1	2.4	0.5
3018	236-1-12	Djuptjern	3018	236-1-12	11.5426	60.0226	0.57	518	2.97	0.05	90.8	0	1.5	0	7.7	0	8.8	0.51
3019	236-2-4	Flasj?en	3019	236-2-4	11.7623	60.0949	19.87	544	2.92	0.51	91.2	0	3.2	0	2.7	2.9	2.6	0.5
3020	239-1-186	Bur?tjern	3020	239-1-186	11.0333	60.4292	4.49	615	2.12	0.09	88.5	8.3	1.3	0	1.9	0	2	0.5
3021	239-2-3	Bundlitjernet	3021	239-2-3	11.1086	60.4292	0.73	614	3.16	0.11	67.3	0	24	0	8.7	0	15.2	0.78
3022	239-2-10	Holtjernet	3022	239-2-10	11.0963	60.4714	1.65	603	6.06	0.1	86.8	0	0	0	4.9	8.3	6.1	0.61
3023	239-4-3	Hurdalsj?en	3023	239-4-3	11.1607	60.2977	587.84	396	28.46	32.31	75.9	2.9	13.9	0	5.6	1.7	5.5	3.95
3024	301-1-1	Steinsrudtjern	3024	301-1-1	10.8679	59.8217	1.4	463	4.37	0.06	61.6	13.7	20.5	0	4.1	0.1	4.3	0.5
3025	301-2-1	Rottungen	3025	301-2-1	10.7206	60.0488	4.11	1016	6.54	0.42	85.5	0	1.7	0	11.9	0.9	10.2	0.66
3026	301-3-1	Helgeren	3026	301-3-1	10.7092	60.0726	14.91	972	11.57	1.81	81	0	1.8	0	13.9	3.3	12.1	1.44
3027	402-1-28	Eintjern	3027	402-1-28	12.3661	60.0724	3.07	461	1.43	0.61	93.5	0	3.9	0	0	2.6	19.9	0.62
3028	402-2-7	Kjerketjerna	3028	402-2-7	12.4163	60.2571	5.51	444	2.48	0.18	90.5	0	4.3	0	2.2	3	3.3	0.5
3030	402-3-9	N H?sj?en	3030	402-3-9	12.3685	60.1111	8.19	438	7.57	1.13	64	13.3	20	0	2.7	0	13.8	2.38
3031	403-3-15	Brumundsj?en	3031	403-3-15	11.1019	61.0266	11.5	643	2.75	1.68	32	0	52.5	0	0.5	15	14.6	0.62
3032	412-1-20	Kinnlitjernet	3032	412-1-20	10.8114	60.8866	1.06	491	3.26	0.06	47.2	47.2	0	0	0	5.6	5.6	0.5
3033	412-1-22	?rtjernet	3033	412-1-22	11.1143	61.0129	0.75	673	0.4	0.06	6.7	0	84.2	0	0	9.1	8	0.5
3034	412-3-4	Sjusj?en	3034	412-3-4	10.7129	61.1428	64.16	882	8.01	1.2	9	1	46.5	0	10.9	32.6	1.9	0.5
3035	412-5-1	Mj?sa	3035	412-5-1	11.2363	60.3977	16529.8	550	149.9	365.19	35.9	6	5.4	2	3.1	47.6	2.2	6.02
3036	418-1-4	Vesle Otten	3036	418-1-4	11.3661	60.4546	5.74	532	3.12	0.07	92.1	0	3.4	0	0	4.5	1.2	0.5
3037	418-1-14	Geittjerna	3037	418-1-14	11.57	60.4688	6.12	550	2.44	0.05	90.2	0	8.5	0	0.5	0.8	0.8	0.5
3038	418-2-3	Tennungen	3038	418-2-3	11.437	60.3519	8.5	499	8.81	0.28	81.5	0	18.5	0	0	0	3.3	0.58
3039	419-1-6	HOH 176	3039	419-1-6	11.8072	60.2566	1.07	346	3.08	0.06	92	0	2	0	0	6	5.6	0.5
